date,model_family,messages,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cost_usd
2026-06-01,opus,152,80995,110887,419306,11479656,11.5376
2026-06-01,other,453,675985,207279,0,57779456,0.0000
2026-06-02,opus,359,106642,529300,1891966,77357477,64.2692
2026-06-02,other,87,182274,38094,0,13489280,0.0000
2026-06-03,haiku,14,20,1764,131924,1381338,0.3119
2026-06-03,opus,8167,2528652,7663623,49555538,2483600382,1755.7561
2026-06-03,other,32,0,0,0,0,0.0000
2026-06-04,opus,3954,1360379,3096466,34597993,1294836450,947.8692
2026-06-04,other,49,0,0,0,0,0.0000
2026-06-04,sonnet,430,526,212873,1944088,36566123,21.4548
2026-06-05,opus,3356,906014,3275232,39295620,1394120547,1029.0688
2026-06-05,other,84,0,0,0,0,0.0000
2026-06-05,sonnet,26,40,6199,643435,2073497,3.1280
2026-06-06,haiku,24,235,6092,75031,1336500,0.2581
2026-06-06,opus,2934,804511,2083498,30570393,601100589,547.7253
2026-06-06,other,9,0,0,0,0,0.0000
2026-06-06,sonnet,1,3,2,122834,0,0.4607
2026-06-07,haiku,16,70,940,44462,417459,0.1021
2026-06-07,opus,324,149294,255535,1963508,22301900,30.5577
2026-06-07,other,1411,5869682,741954,0,157956736,0.0000
2026-06-07,sonnet,578,768,162712,1532956,47450603,22.4267
2026-06-08,haiku,225,246,16106,470790,11085846,1.7778
2026-06-08,opus,346,74665,288932,1092719,73168106,51.0102
2026-06-08,other,1,0,0,0,0,0.0000
2026-06-08,sonnet,219,248,131269,388402,23601676,10.5068
2026-06-09,fable,827,224556,572560,2878755,149427504,216.2855
2026-06-09,opus,124,4890,92590,406804,21303772,15.5336
2026-06-09,other,2,0,0,0,0,0.0000
2026-06-09,sonnet,115,154,57127,430542,7641803,4.7644
2026-06-10,fable,777,141031,502068,2262438,275759625,330.5538
2026-06-10,haiku,174,389,4879,469752,7398115,1.3518
2026-06-10,opus,1090,129084,989077,4832178,125244313,118.1956
2026-06-10,other,29,0,0,0,0,0.0000
2026-06-10,sonnet,9662,24168,5499143,21099681,1058194766,479.1419
2026-06-11,opus,1467,33739,1062226,6062562,103950895,116.5908
2026-06-11,other,1,0,0,0,0,0.0000
2026-06-11,sonnet,8462,11452,4856389,19101823,928099753,422.9420
2026-06-12,opus,767,128949,824299,4088646,207055941,150.3342
2026-06-12,other,1,0,0,0,0,0.0000
2026-06-12,sonnet,1674,1988,954739,2972870,186536708,81.4363
2026-06-13,opus,1692,388081,2153215,9810732,529720869,381.9483
2026-06-13,other,2,0,0,0,0,0.0000
2026-06-13,sonnet,270,6825,25869,668167,17171052,8.0655
2026-06-14,opus,2118,624033,2639611,13269535,759264021,531.6770
2026-06-14,other,1,0,0,0,0,0.0000
2026-06-15,opus,102,10015,155792,992901,83634188,51.9676
2026-06-15,other,1,0,0,0,0,0.0000
2026-06-17,haiku,5,2668,1020,34794,125538,0.0638
2026-06-17,opus,1105,962964,988087,7459102,280343032,216.3079
2026-06-17,other,1,0,0,0,0,0.0000
2026-06-18,opus,1298,433037,1549866,6099227,383625769,270.8449
2026-06-18,other,1,0,0,0,0,0.0000
2026-06-19,opus,4266,2222864,3764194,30224219,1575574616,1081.9078
2026-06-19,other,17,0,0,0,0,0.0000
2026-06-20,opus,2066,794901,2482611,12397838,615462426,451.2575
2026-06-20,other,2,0,0,0,0,0.0000
2026-06-21,opus,2667,2643375,2396360,22556572,748213662,588.2113
2026-06-22,opus,1462,906649,1498617,8554369,357510195,274.2186
2026-06-22,other,19,0,0,0,0,0.0000
